10/11/2022 1:43:15 AM,10/11/2022 1:43:24 AM,56.05686,00:00:08.4836837,Speeding:0,Stop Sign:0
10/11/2022 1:43:27 AM,10/11/2022 1:43:41 AM,166.9164,00:00:13.4733851,Speeding:1,Stop Sign:0
10/11/2022 1:43:43 AM,10/11/2022 1:44:01 AM,221.7576,00:00:17.7775836,Speeding:0,Stop Sign:1
10/11/2022 1:46:45 AM,10/11/2022 1:47:29 AM,177.4769,00:00:43.3193182,Speeding:0,Stop Sign:0
10/11/2022 1:47:33 AM,10/11/2022 1:47:50 AM,285.3561,00:00:17.1067139,Speeding:2,Stop Sign:1
10/11/2022 1:52:13 AM,10/11/2022 1:52:22 AM,75.77741,00:00:09.5659543,Speeding:0,Stop Sign:0
10/11/2022 1:52:28 AM,10/11/2022 1:52:41 AM,138.0449,00:00:12.7871893,Speeding:0,Stop Sign:0
10/11/2022 1:52:44 AM,10/11/2022 1:53:06 AM,383.7221,00:00:22.2322607,Speeding:1,Stop Sign:1
10/11/2022 1:53:50 AM,10/11/2022 1:54:09 AM,200.3978,00:00:18.4677948,Speeding:0,Stop Sign:0
10/11/2022 1:54:13 AM,10/11/2022 1:54:24 AM,103.2969,00:00:11.8943082,Speeding:0,Stop Sign:0
10/11/2022 1:54:26 AM,10/11/2022 1:54:52 AM,331.2846,00:00:25.4098273,Speeding:0,Stop Sign:0
